time_day,synthetic_truth,observation,calibration,prediction,baseline_prediction
0.0,5.0,3.4137550496842017,1,5.0,5.0
0.5,5.909143527104369,6.390286094180919,1,5.932153863999356,5.932153863999356
1.0,6.973571185399375,3.1809184862012434,1,7.025457240184835,7.025457240184835
1.5,8.215929199663627,11.007472619881016,1,8.302778806815848,8.302778806815848
2.0,9.660698565405069,10.937288047261498,1,9.788310340191282,9.788310340191282
2.5,11.33377096207198,10.749675991633254,1,11.506867650078771,11.506867650078771
3.0,13.261766608337835,12.637867951957483,1,13.48286826263585,13.48286826263585
3.5,15.47104076887102,16.078711504428647,1,15.738946223373343,15.738946223373343
4.0,17.98633891516987,17.451018310761192,1,18.29419788145982,18.29419788145982
4.5,20.82908900264493,20.377271280318503,1,21.162107328345098,21.162107328345098
5.0,24.015366475465818,25.455502115484045,1,24.348276082089843,24.348276082089843
5.5,27.553634018493522,28.583044430041063,1,27.848171258589932,27.848171258589932
6.0,31.44243878080637,31.314182909538005,1,31.645192792557857,31.645192792557857
6.5,35.66833201521906,35.49737888884734,1,35.709416738473855,35.709416738473855
7.0,40.20433869231288,40.52617133764417,1,39.99736747441894,39.99736747441894
7.5,45.009321231466984,43.781284442429175,1,44.45308249651036,44.45308249651036
8.0,50.028527926319725,49.22102739700717,1,49.010555652551766,49.010555652551766
8.5,55.195482152423544,56.29200251283638,0,53.597405223386545,53.597405223386545
9.0,60.43516589159917,60.17420030531744,0,58.13936915078308,58.13936915078308
9.5,65.66822036366517,62.91936801231172,0,62.56505124998269,62.56505124998269
10.0,70.81568616730219,69.86112872803578,0,66.81028615391003,66.81028615391003
10.5,75.80369316330999,77.11693637389706,0,70.82157559825953,70.82157559825953
11.0,80.56752094320754,80.10295539904098,0,74.55824648900472,74.55824648900472
11.5,85.05458078632564,84.757115165853,0,77.99323007276347,77.99323007276347
12.0,89.22607973849912,90.5097529948416,0,81.11259190727961,81.11259190727961
12.5,93.05735725413801,96.70657786396889,0,83.9141026797707,83.9141026797707
13.0,96.53707817822652,95.11070083448995,0,86.40521002487152,86.40521002487152
13.5,99.66558707834754,102.36200070521573,0,88.60076052967538,88.60076052967538
14.0,102.45276962350313,99.99274407282341,0,90.5207558392558,90.5207558392558
14.5,104.91574063718414,105.26569588266489,0,92.18833783359234,92.18833783359234
15.0,107.07661083409977,104.73755179507499,0,93.62811001111923,93.62811001111923
15.5,108.96050103054328,111.66341739955166,0,94.86483040200633,94.86483040200633
16.0,110.59389363005913,112.26173962349563,0,95.92246116017505,95.92246116017505
16.5,112.00334780929832,114.27878137860846,0,96.8235305720734,96.8235305720734
17.0,113.21456092684875,111.44349461773776,0,97.58875034814089,97.58875034814089
17.5,114.25173302188536,115.62084307285483,0,98.23682957796457,98.23682957796457
18.0,115.13718006342557,114.09915340376658,0,98.78443198421586,98.78443198421586
18.5,115.89114039534559,114.9763697730417,0,99.24623156016908,99.24623156016908
19.0,116.53172359465117,117.54479775344863,0,99.635030952467,99.635030952467
19.5,117.074958648658,118.82839499359541,0,99.96191567004763,99.96191567004763
20.0,117.5349068762183,117.94374730702906,0,100.23642468986816,100.23642468986816
