replication,sequential_score,snapshot_score,paired_difference
0,0.8724390243902439,0.8543321718931474,0.018106852497096537
1,0.8894599303135889,0.854576074332172,0.03488385598141697
2,0.8728106852497096,0.8823054587688735,-0.009494773519163835
3,0.8514924506387922,0.8555807200929153,-0.004088269454123106
4,0.8862311265969801,0.894268292682927,-0.008037166085946845
5,0.8776306620209059,0.8813066202090593,-0.003675958188153361
6,0.8786643437862949,0.8482346109175376,0.030429732868757275
7,0.8939895470383276,0.8929036004645762,0.001085946573751384
8,0.896945412311266,0.8481300813008129,0.0488153310104531
9,0.8705632984901277,0.874390243902439,-0.0038269454123113222
10,0.8805400696864111,0.8973577235772356,-0.01681765389082457
11,0.8929036004645761,0.8729849012775841,0.01991869918699196
